lm_macro_random_cor,cart_macro_random_cor,knn_macro_random_cor,rf_macro_random_cor,svml_macro_random_cor,svmp_macro_random_cor,svmr_macro_random_cor,lm_macro_random_rmse,cart_macro_random_rmse,knn_macro_random_rmse,rf_macro_random_rmse,svml_macro_random_rmse,svmp_macro_random_rmse,svmr_macro_random_rmse,lm_macro_random_int,cart_macro_random_cp,knn_macro_random_k,rf_macro_random_mtry,svml_macro_random_cost,svmp_macro_random_cost,svmp_macro_random_scale,svmp_macro_random_degree,svmr_macro_random_cost,svmr_macro_random_sigma,repetition
0.5840373352881542,0.41715732855705173,0.3421696307312463,0.5713190285934058,0.5682518278104727,0.5864170600335332,0.5810494586634003,0.024419841111007257,0.026671538180332334,0.028674947085000756,0.02489693926849712,0.024686903626402714,0.024646234516224934,0.02493624152046641,0.5,0.04,2,2,2,2,0.1,1,2,0.01,4
0.4958041958041958,0.3642525450791739,0.20496738321927607,0.29055944055944055,0.5096590909090909,0.5086101398601398,0.5035839160839161,0.02301441510005364,0.025065708299805037,0.027993443887180645,0.025727960323033768,0.022818870713782816,0.023102329586307497,0.023179344057749636,0.3333333333333333,0.06,3,3,3,3,0.01,3,3,0.01,4
0.5345370300420539,0.22622618832051203,0.2896463152292654,0.4555664677293445,0.5223489713177709,0.5203344161567324,0.44584623907733373,0.021197385769593808,0.02629822683207637,0.027471231432712146,0.02370337346278853,0.02156298318732349,0.02155676226614203,0.02331483741056297,0.25,0.08,4,4,4,4,0.1,1,4,0.001,4
0.5214285714285715,0.19697317952098797,0.19221125925311672,0.34898989898989896,0.5380952380952381,0.4845598845598845,0.4385281385281385,0.021523434145758122,0.02559152864737071,0.027944766416060182,0.027312575503164384,0.021419271021011595,0.022929187188850026,0.023114535756896825,0.2,0.1,5,5,5,5,0.01,3,5,0.01,4
0.38448426573426575,0.10227975969756845,-0.0389319418436537,0.3450611888111888,0.4221153846153846,0.20156311252645293,0.35948426573426573,0.025313651218186933,0.027597624231908327,0.03582772689373594,0.02411743069177487,0.024041100693300444,0.03784326500720039,0.025099433145782283,1,0.02,1,1,1,1,0.1,3,1,0.001,5
0.36127752844170763,0.359198155017936,0.33350381512482896,0.36382423546602655,0.33355599624256344,0.3479177538879032,0.3944682183488154,0.024635470632153916,0.024118029918504466,0.030618906157894178,0.02426832064292126,0.02449894104526504,0.023522648701042596,0.02170708715060173,0.5,0.04,2,2,2,2,0.1,1,2,0.01,5
0.6639218352597517,0.4267102335836186,0.33588516757061765,0.5333282969454307,0.6697640452267634,0.6641736546548814,0.6586839918410516,0.022922542049751946,0.027781784417543764,0.029444829631680068,0.02565307827086981,0.02320224354910207,0.0238669136564564,0.02384840269348142,0.3333333333333333,0.06,3,3,3,3,0.01,2,3,0.01,5
0.5610446337937188,0.27505845796237527,0.3364299117167554,0.5675659048263559,0.5731028330616138,0.5650435264080717,0.6046633240025839,0.02524609706476387,0.028493493153494562,0.029162455336120552,0.025737674110608302,0.025056793735026964,0.025158970486344665,0.024291056461966342,0.25,0.08,4,4,4,4,0.1,1,4,0.01,5
0.3241206554639391,-0.04214597748391254,0.3657693953794409,0.4444838743346207,0.31439306961695024,0.3076296837490868,0.3299238075357479,0.023485529452149663,0.026938764934029746,0.024874173414193408,0.023628707874656155,0.023474135529425767,0.023408653338324738,0.022568710828769593,0.2,0.1,5,5,5,5,0.1,1,5,0.01,5
0.4857142857142857,0.2029981437145186,-0.042338341065735065,0.30476190476190473,0.5216575091575092,0.4828296703296703,0.4475274725274725,0.027512541458312802,0.03164990342027871,0.04217191669659423,0.030158197797465126,0.027514136887839217,0.027855369458567668,0.02886092447706189,1,0.02,1,1,1,1,0.1,1,1,0.01,6
0.42554959582987084,0.321327497887519,0.31875188969787666,0.4565737453098638,0.47153181738057465,0.4596459419304475,0.5321699277278336,0.02990176439235993,0.034164557660623436,0.035445551237400084,0.030416484337174084,0.03094455523422265,0.03124546309326394,0.031644835252583915,0.5,0.04,2,2,2,2,0.1,1,2,0.01,6
0.37079636781129327,0.1380230467741346,0.09247661992662888,0.22045715478551303,0.38069095084020466,0.3592318129631563,0.3701701283790837,0.029241444324415045,0.03297050800904367,0.03465986672357295,0.03175360245241877,0.029179749629613616,0.030007909352415648,0.029809575378151744,0.3333333333333333,0.06,3,3,3,3,0.01,3,3,0.01,6
