RMSE,Rsquared,MAE,Training_Size,Data
0.014090840242021858,0.7360158160142791,0.010362973730697876,229,Training
0.014349045855141322,0.7218207518256228,0.010450825308014002,243,Training
0.01438051837618193,0.7329890933881393,0.010396095413423307,258,Training
0.014250715273344126,0.7247700386725136,0.010393157329190508,272,Training
0.014514293133862387,0.7232122648743767,0.01057654662154061,287,Training
0.015446625049372852,0.6902996454180687,0.0112490732675507,71,Testing
0.015029170206211341,0.7260246851693163,0.01073662836105721,86,Testing
0.015586008498145964,0.6905945234601885,0.011530318859999531,100,Testing
0.0144442048779368,0.74885675332108,0.009943298116901589,114,Testing
0.015591114376569456,0.6706062751641295,0.011238930991263567,129,Testing
0.0147032833091869,0.7080148021121236,0.010122840239271416,143,Testing
0.015070744004093719,0.696441304713494,0.010685491911073446,157,Testing
0.013965575483408068,0.7405384620675909,0.010003153906770684,172,Testing
0.014779862537631479,0.720398837817126,0.010739269466632574,186,Testing
0.014311795688329468,0.7239710272839558,0.010143815332264447,200,Testing
0.014703715591145519,0.734654606253393,0.010527956543060445,215,Testing
0.014613204438347118,0.7246196408283494,0.010693240943699998,229,Testing
0.015144339347512893,0.6997365040433494,0.01103517899772353,243,Testing
0.01496661095770262,0.7165554413195975,0.010790541702804994,258,Testing
0.014777924979423412,0.7119765532369827,0.01074194495251796,272,Testing
0.015072333583744931,0.7081099272069572,0.010948692908167147,287,Testing
0.012284124326227016,0.8082777284488045,0.00806772467733707,71,Training
0.012697181872355846,0.8488984111663707,0.008345327248533237,86,Training
0.010069253961902747,0.8277317147097238,0.006979704816418236,100,Training
0.013034168630843885,0.736571961460439,0.009296968033143187,114,Training
0.013546404479925335,0.7113551689237843,0.009812583120034376,129,Training
0.013946590417239725,0.7234429045856529,0.009846517685262821,143,Training
0.013506508835659249,0.7728742573243138,0.009765111581605658,157,Training
0.015107536396629241,0.7209800479261896,0.010776712671187152,172,Training
0.013907484344595891,0.7279870989274735,0.009837164680200228,186,Training
0.014724921878304821,0.7251915291622187,0.010740718783567416,200,Training
0.014252986058541826,0.724087700210272,0.010183344977206316,215,Training
0.014101830001294073,0.7477035602683214,0.010556247028672056,229,Training
0.014659319136860607,0.7209765822173142,0.010636601270623498,243,Training
0.014189812589922697,0.7362526023122957,0.010549780828611051,258,Training
0.014436463176286576,0.7337308071270765,0.01050802935594004,272,Training
0.0146443253106072,0.7245911289259704,0.010656611434257042,287,Training
0.014386076738525362,0.7386863580221417,0.009882404099550404,71,Testing
0.015291773434939197,0.7657222936333982,0.01018838926038709,86,Testing
0.01313640746263167,0.7276551578444094,0.00924747810276763,100,Testing
0.014351174581896192,0.6950038078333932,0.010475336670247368,114,Testing
0.01472324242113499,0.671298732073955,0.010835203271052734,129,Testing
0.014528817454569095,0.705544668177688,0.010353325784090017,143,Testing
0.014336141064844586,0.7425484991467056,0.010489793910999988,157,Testing
0.01554488612694086,0.702530738375354,0.011248794224914517,172,Testing
0.014407173434680828,0.7133865023890141,0.010328073445455305,186,Testing
0.015083675032874758,0.7110263468932249,0.011102300273934669,200,Testing
0.014612101136901126,0.7124446967651814,0.010479708370235364,215,Testing
0.014428246218684297,0.7356573591098028,0.01081654432724026,229,Testing
0.014982610455481557,0.7092148418991633,0.010949037449345967,243,Testing
0.014408478097760438,0.72895501770388,0.010818393149244,258,Testing
0.014688854607266315,0.7244210906951529,0.010791698296635581,272,Testing
0.014824729865359668,0.7182501173663228,0.010882929269506854,287,Testing
0.015467117827837279,0.7355750012555309,0.010535109956989577,71,Training
0.013236262438717021,0.777090957140701,0.009322988275880533,86,Training
0.014397891375293256,0.7306030749880963,0.00992292573948447,100,Training
0.012284788521778668,0.7855493308077204,0.008970496525195352,114,Training
0.014329474826517804,0.7367051863527474,0.010105398370889565,129,Training
0.012369115425600104,0.8017209095898555,0.00904486980620851,143,Training
0.01498362447244113,0.6499681221560037,0.010495089768916251,157,Training
0.013404058233648534,0.7631254594512753,0.00980034384758431,172,Training
0.013028590723547014,0.7898359170018344,0.009439061560438377,186,Training
0.014579926719639735,0.6989945829956632,0.010693060324706237,200,Training
0.014509376429281464,0.7212306671702529,0.010722726120554011,215,Training
0.014451502206320705,0.7289316631914293,0.010500528486233453,229,Training
0.014375035186606683,0.7199632984854558,0.010310993767587996,243,Training
0.01416026168628351,0.7394577304858898,0.010507077050099962,258,Training
0.014018338653396419,0.7269251781814898,0.010176990950109974,272,Training
0.014353952498711879,0.7284295676769333,0.010508675190123218,287,Training
0.017874381918474028,0.6666772913103058,0.012491363305670095,71,Testing
0.015409605184396618,0.7202764460705946,0.010769916816473792,86,Testing
0.016082308143829722,0.6839799346662427,0.011153274467186131,100,Testing
0.014403979151450877,0.7283121296054637,0.010627633972177718,114,Testing
0.01602062383332852,0.6854279785456353,0.01138950013746377,129,Testing
0.014069494082118718,0.7567656275303022,0.010088544925950021,143,Testing
0.01607128312207014,0.633246666283675,0.01123848860850377,157,Testing
0.014604384835951988,0.7300039201969031,0.010715510286853965,172,Testing
0.014361962915967372,0.7517640871044435,0.010328247443341784,186,Testing
0.015545585188727605,0.6738094948957822,0.011327096524932094,200,Testing
0.015383389356929116,0.6975421217651199,0.011223609827397691,215,Testing
0.015203069270456622,0.7084130289399566,0.011026511279107398,229,Testing
0.01504593768857669,0.7046506294957492,0.010807522555042574,243,Testing
0.014793538560180812,0.7233076812123214,0.010951532321865548,258,Testing
0.014692048317429639,0.71014221774938,0.010599963365533694,272,Testing
