taxa,BLUPs_4
LH223,1.7083334249494846
LH224,-0.23366784654290587
LH38,2.4962135022884753
LH54,1.8980355089682424
LH57,1.2282615908159527
LH59,0.13946058453349605
LH60,0.51760800032203
LH74,-1.5774931709301694
LH82,0.17075309627868193
LIBC-4,-0.9340605172666248
LP1-NR-HT,0.961301122335772
LP5,-0.4692510777082915
Lp215D,0.34388588637778317
M14,0.6587707772228777
MBPM,-2.8551848536046927
MBST,0.7220793571396077
MBWZ,0.47935024273683474
ML606,-0.9281571900360905
MM501D,-0.7657962640814705
MQ305,0.4891746321809522
MS116,-0.32865445679787986
MS1334,-1.3588993765246178
MS153,-2.302573996685106
MS200,-0.09152352936787869
MS211,0.9718511807831152
MS221,1.9754836954212314
MS224,0.44689208173253814
MS225,-2.520798482681136
MS226,-2.217379876622792
