Model,Metric,dataset,Data,Intercept,Mtry,Ncomp,C,Mean_Degree,Mean_Scale,Mean_Sigma,Mean_Performance,Std_Dev_Performance,Range_Performance,N,Splitting
SVMP,RMSE,std_training,Spectra,NA,NA,NA,0.343,1.8,0.0955,NA,0.018937262315342776,0.002037342496508783,0.007430923335720102,20,Random
PLS,RMSE,abs_training,Spectra,NA,NA,6,NA,NA,NA,NA,0.018933378025451312,0.0016137498456825128,0.004607021066886933,20,Random
PCR,RMSE,base_training,Spectra,NA,NA,86,NA,NA,NA,NA,0.018918253594215527,0.001475044072945962,0.005716407985414529,20,Random
PCR,RMSE,sq_training,Spectra,NA,NA,74,NA,NA,NA,NA,0.01891753614884739,0.0017238680458398121,0.0070277546155626345,20,Random
SVML,RMSE,std_training,Spectra,NA,NA,NA,20.412,NA,NA,NA,0.018905594198622807,0.0017748326392186698,0.006929060562287596,20,Random
SVMP,RMSE,abs_training,Spectra,NA,NA,NA,2.8000000000000003,1.15,0.1,NA,0.018903012683993962,0.0015985986354699502,0.0046519733652085685,20,Random
PCR,RMSE,sq_training,Spectra,NA,NA,73,NA,NA,NA,NA,0.018896478836665277,0.0018285234005560244,0.00746022642094509,20,Random
PCR,RMSE,std_training,Spectra,NA,NA,68,NA,NA,NA,NA,0.01889481543885458,0.0015096847225671613,0.004526819922410538,20,Random
PCR,RMSE,max_training,Spectra,NA,NA,73,NA,NA,NA,NA,0.018893659266565062,0.0014637705761658987,0.006177926269223186,20,Random
PCR,RMSE,max_training,Spectra,NA,NA,72,NA,NA,NA,NA,0.018885886650069433,0.001468551822634861,0.006040377624393826,20,Random
PLS,RMSE,std_training,Spectra,NA,NA,7,NA,NA,NA,NA,0.01888368927919596,0.0018779346390064148,0.006498645314540068,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,5,NA,NA,NA,NA,0.01888204149889914,0.0015618950389373293,0.004592643537441734,20,Random
SVMP,RMSE,abs_training,Spectra,NA,NA,NA,3.087,1.2,0.1,NA,0.018874029265803574,0.0015834396957245063,0.004561700423856251,20,Random
SVML,RMSE,abs_training,Spectra,NA,NA,NA,0.252,NA,NA,NA,0.018870882239170945,0.0016209118952527609,0.004832063788519712,20,Random
SVML,RMSE,std_training,Spectra,NA,NA,NA,19.663,NA,NA,NA,0.01886942722760472,0.0017720195083114252,0.006884786919532565,20,Random
PCR,RMSE,abs_training,Spectra,NA,NA,87,NA,NA,NA,NA,0.018867042594009703,0.0014499636482371546,0.0056334925625890694,20,Random
PCR,RMSE,std_training,Spectra,NA,NA,67,NA,NA,NA,NA,0.018863751696176323,0.0015722639471088264,0.0048365163939839174,20,Random
SVMP,RMSE,abs_training,Spectra,NA,NA,NA,13.552,1.15,0.0955,NA,0.018855521822901497,0.0036103526089666807,0.016320105745175728,20,Random
SVML,RMSE,base_training,Spectra,NA,NA,NA,0.343,NA,NA,NA,0.01885248544371011,0.0018168329178060792,0.0060776701624320854,20,Random
PCR,RMSE,base_training,Spectra,NA,NA,85,NA,NA,NA,NA,0.018848253581295268,0.0014547132386275637,0.005618785165653237,20,Random
PCR,RMSE,sq_training,Spectra,NA,NA,8,NA,NA,NA,NA,0.01884648126933822,0.0016406357367941037,0.004917755064008874,20,Random
SVML,RMSE,std_training,Spectra,NA,NA,NA,0.028,NA,NA,NA,0.018839706258787028,0.0018443978287156536,0.0062903573454163,20,Random
SVMP,RMSE,abs_training,Spectra,NA,NA,NA,14.175,1.15,0.0955,NA,0.018838052163979612,0.0036305333831430343,0.01642654995677218,20,Random
PCR,RMSE,max_training,Spectra,NA,NA,71,NA,NA,NA,NA,0.01883492157624726,0.0014617818396450118,0.0056559688727096345,20,Random
SVML,RMSE,std_training,Spectra,NA,NA,NA,18.928,NA,NA,NA,0.018833379318081468,0.001769137846833583,0.006852982074934046,20,Random
PCR,RMSE,abs_training,Spectra,NA,NA,86,NA,NA,NA,NA,0.01882970773090263,0.001452747925843273,0.005533103667533033,20,Random
SVMP,RMSE,abs_training,Spectra,NA,NA,NA,14.812000000000001,1.15,0.0955,NA,0.01882293281685011,0.003680467303314234,0.01670192355091055,20,Random
SVMP,RMSE,std_training,Spectra,NA,NA,NA,2.023,1.6,0.059500000000000004,NA,0.018818154214265578,0.0021691241279613283,0.008382774152001757,20,Random
SVMP,RMSE,abs_training,Spectra,NA,NA,NA,15.463000000000001,1.15,0.0955,NA,0.018815947491815792,0.003760963034711783,0.017118035205116754,20,Random
