taxa,PC1,PC2,PC3,PC4,PC5
B87,142.320216506199,158.862396896167,47.1707810406079,50.5982717717223,2.71255164400515
B88,7.85984445607397,55.7982589353551,89.9379433060649,136.036290917951,-94.1577403144295
B97,142.48632156424,81.8300581480885,114.335329570597,189.769479910595,-115.969678589804
B98,130.889037238484,89.1760479407365,80.7761355721074,134.042210588091,-70.3300186555104
BEI-10,158.17992768087,104.908498860856,86.0589717420975,127.705899462771,-15.4924718198894
C103,341.031221114559,364.347210226137,-285.800742331295,-390.130023456541,-125.754830197438
C123,259.210892403422,272.955929375214,-115.320870487921,-159.743935414217,-116.1449327395
CA-4,134.95925148343,159.753277064335,95.1088681705191,158.815143109812,-140.145420354057
CH157,100.797995033918,99.3018011128628,108.198689882048,132.70886980165,-71.7493099662645
CH701-30,124.164567220481,98.954731203566,111.13681625728,152.002007229447,-93.6366146717634
CH711-10,254.623012688058,239.709003732376,-125.645302366553,-168.44728403955,-77.4152952374081
CH753-4,-418.73233087939,-34.241547204278,489.620495161798,-382.953346746764,-12.6600568353036
CI-40H,103.429314077555,67.3985136709149,109.310277427748,158.261001004507,-107.312468757485
CM105,-333.076689617513,-11.8284372193424,474.431815899238,-329.494045100732,-0.595196462532783
CO257,-164.917427359218,23.6646498753223,71.5104952496222,21.9249800188199,-61.1688493121029
CO258,-163.429717932854,2.92968636974117,47.1261107152999,67.6931359098596,-90.3291514512729
CQ702RC,312.80308311121,-218.986860057725,-111.693895696456,-40.0457196783289,380.776067244802
CR-22,135.060647047787,99.1360175290588,120.120435113813,154.950842074562,-94.7969153920139
CR14,-566.174651876248,-12.505621453727,8.71664601512894,-51.2297382530003,-102.542880702236
CS405,-432.894534495012,-19.0794849110173,-199.410284268614,123.878590809244,73.0424921411672
DE2,289.651472875669,-391.939361765014,-67.3306123682994,29.9276447863625,57.3830299422599
DE3,192.511500825265,188.176741826652,-76.1269428222234,-87.4796517223557,255.455612226418
DE4,142.964171880522,147.431996528814,-59.8595624559729,-87.0030952162483,175.197170048226
DE811,-217.665958884663,61.233130462602,242.267475321868,-326.352492982256,42.7936318719418
DJ7,-794.697279119078,-53.8809562461756,-451.819282617348,188.405313453933,-130.07024132623
DK4676A,-208.577075638979,28.6904757540091,195.288275857543,-103.719951753997,136.136251671881
DK78002A,-650.921523769395,-42.1051911840792,-24.7641649956977,-80.8859327435452,-82.8478193178209
DK78010,-662.753377371706,-52.8290721274736,55.4184296021091,-147.911732780228,-53.7873616608045
DK78371A,304.686446096753,297.903107390954,-168.993726762208,-79.6130571371358,422.566294610998
DKFBHJ,-287.356588782554,-11.261695396777,307.15172448819,-195.948266343693,14.2565869956269
DKHBA1,62.3409643147595,53.5938690363134,103.264141501994,-120.042208864132,-48.1313550307609
DKIB014,367.692281917269,-613.73416098553,-101.279041792368,4.3386985872022,54.3855856265993
DKMBNA,339.282566475238,326.261139853027,-385.659522329251,-454.157884229795,-172.9663381911
DKPB80,-713.470248514222,-46.170735099259,-324.128929841859,130.828453034269,-125.726003052867
E8501,240.775875808142,281.44664094901,-137.054512534959,-215.089339349076,-157.676598470225
EAST-028,148.445196125153,121.191396347652,137.384928004461,161.361260768291,-97.2443684683893
Eng-Li-Chih,137.558898702587,106.766311223153,90.7977053666949,135.821759530794,-116.262978073388
F118,-364.32984356363,23.3775489744763,-163.843452930214,156.095309663487,-127.580543186842
F2834T,131.331075393444,116.169217457666,105.304114182319,141.128443239454,-106.141060863569
FBLA,-310.980525660741,-20.6172591406227,373.656139927473,-276.600300075318,2.20057334210179
FBLL,-651.291234709572,-48.0007395135187,-195.572609255928,39.8896264752793,-82.4268736579662
FC46,139.382486373362,145.742972061335,100.035128619044,164.479403474429,-109.439365174118
FR19,-144.283085157509,16.637563121745,358.852013234446,-160.785645143752,-40.8615851009367
H105W,-295.370317656817,-4.62039599508218,507.099720221635,-354.413112900207,-28.1983123312094
H110,-69.4686066539405,76.6791281730814,257.284073294905,-57.8875074466774,-72.179373070211
H113,64.0833362882112,102.86213327013,130.084976698613,145.844053475133,-144.214811126312
H114,-147.960299927552,46.7264394004721,57.778531750523,53.0738008853158,251.48414389935
H121,160.402920863528,115.029169144231,84.2029075365459,137.277892958295,-17.2676596910485
H122w,-317.388300973715,55.5035612871335,-223.524267768967,165.780385768799,78.7628074294595
H5,129.136508569154,102.62470896683,145.251130164256,256.495066858368,-81.7091632206991
H71,155.10182383698,139.065448677171,158.587902168015,228.708546362555,-76.4598671939067
H84,-141.999115059811,46.8716724256204,-24.1169576628141,63.8624687705196,287.421441160759
H91,-531.328181317475,-47.676231998927,573.349799838105,-490.737129069077,18.6144169731462
H95,193.926770296717,170.476320398337,17.074956635402,158.452400777464,364.038385564908
H96,41.3134679220673,34.0512068853898,82.1197253948528,149.331196109721,-119.646044444107
H99,188.305866378865,150.524710305749,8.0827359395653,119.239301662322,95.3509475766775
HP301,153.115009847326,133.56775280572,105.034163277934,236.07708439688,-181.018715703707
