Sample_ID,Genotype,SourceID,Start.Weight,Start.Moisture,Cook.Date,HotPlate.ID,Hotplate.Pos,Cook.Time.Start,Bath.Start.Time,Steep.End.Date,Bath.End.Time,PH,Oven.ID,Tray.Empty.DML.1,Tray.Empty.DML.2,Tray.Empty.DML.3,Y.Kernel.Wet.Weight,Y.Kernel.Wet.With.Tray,Z.Kernel.Wet.Weight,Z.Kernel.Wet.With.Tray,Date.Tray.Dry,Tray.Dry.1,Tray.Dry.2,Tray.Dry.3,Date.Kernel.Dry,Y.Kernel.Tray.Dry.Weight,Z.Kernel.Tray.Dry.Weight,DML.Percent,Location,row,Moisture_Uptake,Y.Kernel.Moisture,Z.Kernel.Moisture
YC16:2115,CR1HT,SP14:10710,100,10.8,6-28-2017,A,3,3:32,04:01:00,6-29-2017,8:32,11.96,B,11.4,11.4,11.4,15,16.2,15.1,16.3,07-06-2017,13.6,15.2,13.1,7-6-2017,9.7,10,0.077,UMN,62,0.42527593818984555,0.433333333333333,0.417218543046358
YC16:1246,PHW80,SP14:11425,100.2,11.7,6-28-2017,A,4,3:32,04:01:00,6-29-2017,8:32,11.94,B,11.4,11.4,11.2,15,16.4,15.1,16.4,07-06-2017,13.8,15.8,13.6,7-6-2017,10.6,10.6,0.09181636727,UMN,63,0.385386313465784,0.386666666666667,0.384105960264901
YC16:2045,A73,SP14:10901,100.1,12.4,6-29-2017,A,1,3:33,03:57:00,6-30-2017,8:28,11.87,A,11.2,11.1,11,15,16.3,15.2,16.5,7-7-2017,13.6,15.2,13,7-6-2017,9.9,10.1,0.08491508492,UMN,64,0.42385964912280705,0.426666666666667,0.421052631578947
YC16:2019,CH157,SP14:10696,100.1,11.4,6-29-2017,A,2,3:33,03:57:00,6-30-2017,8:28,11.76,A,11.5,11.4,11.9,15,16.3,15.1,16.3,7-7-2017,16.8,14.4,13.7,7-6-2017,9.8,9.8,0.1008991009,UMN,65,0.43189845474613653,0.433333333333333,0.43046357615894
YC16:1114,A374,SP14:10725,100.2,10,6-29-2017,A,3,3:33,03:57:00,6-30-2017,8:28,11.86,A,11.5,11.1,11.2,15.2,16.4,15.3,16.5,7-7-2017,13,15.4,13.1,7-6-2017,10.4,10.4,0.07684630739,UMN,66,0.3967148262813895,0.394736842105263,0.398692810457516
YC16:2504,B108,SP14:10826,100,11,6-29-2017,A,4,3:33,03:57:00,6-30-2017,8:28,11.88,A,11.5,11.2,11,15.1,16.4,15.2,16.6,7-7-2017,12.8,15.6,12.9,7-6-2017,10.3,10.3,0.076,UMN,67,0.4092235970721505,0.403973509933775,0.414473684210526
YC16:1286,W32,SP14:10850,100,11.1,07-05-2017,A,1,3:03,03:24:00,07-06-2017,8:31,11.76,B,11.3,11.2,11,15,16.3,15.1,16.4,7-11-2017,13.7,14.6,13.6,7-13-2017,10,10,0.084,UMN,68,0.4219205298013245,0.42,0.423841059602649
YC16:2309,Pa778,SP14:10835,100.1,11.8,07-05-2017,A,2,3:03,03:24:00,07-06-2017,8:31,11.75,B,11.2,11.2,11,15,16.2,15.3,16.6,7-11-2017,15.8,12.9,14.1,7-13-2017,10.1,10.3,0.09390609391,UMN,69,0.40921568627451,0.406666666666667,0.411764705882353
YC16:2037,A672,SP14:10819,100.1,10.7,07-05-2017,A,3,3:03,03:24:00,07-06-2017,8:31,11.79,B,11.1,11.1,11,15,16.2,15.3,16.5,7-11-2017,13.6,13.4,15.8,7-13-2017,9.3,9.4,0.0959040959,UMN,70,0.4620261437908495,0.46,0.464052287581699
YC16:2463,CG102,SP14:10620,100.2,10.9,7-6-2017,A,2,2:49,03:10:00,7-6-2017,8:53,11.81,A,11.5,11.2,11.2,15,16.1,15,16.3,7-12-2017,13.2,13.9,15.9,7-14-2017,10.3,10.4,0.09081836327,UMN,73,0.39,0.386666666666667,0.393333333333333
YC16:2237,DKPB80,SP14:10840,100.1,12.4,7-6-2017,A,3,2:49,03:10:00,7-6-2017,8:53,11.86,A,11.3,11.1,11.4,15,16.1,15.2,16.5,7-12-2017,15.9,13.2,13,7-14-2017,9.7,10.1,0.08291708292,UMN,74,0.42385964912280705,0.426666666666667,0.421052631578947
YC16:1440,CG102,SP14:10620,100,11.8,7-6-2017,A,4,2:49,03:10:00,7-6-2017,8:53,11.84,A,11.2,11.4,11.6,15.3,16.6,15.2,16.3,7-12-2017,15.6,13.8,13.2,7-14-2017,10.4,10.2,0.084,UMN,75,0.4032722738218095,0.405228758169935,0.401315789473684
YC16:2271,LH192,SP14:11283,100,12.6,7-10-2017,A,2,3:19,03:41:00,7-11-2017,8:18,11.81,A,11.1,11.1,11,15.2,16.5,15,16.3,7-13-2017,13.5,13.7,13.8,7-18-2017,10.2,10.1,0.078,UMN,77,0.4139035087719295,0.414473684210526,0.413333333333333
YC16:2092,2FADB,SP14:11112,100,12.4,7-10-2017,A,3,3:19,03:41:00,7-11-2017,8:18,11.73,A,11.1,11,11,15.2,16.5,15,16.3,7-13-2017,13.7,14.4,13.1,7-18-2017,10,9.9,0.081,UMN,78,0.4271491228070175,0.427631578947368,0.426666666666667
YC16:1061,N192,SP14:10741,100.2,12.3,7-11-2017,A,3,3:09,03:32:00,7-12-2017,8:45,11.91,B,11.2,11.5,11.2,15.2,16.4,15,16.2,7-14-2017,13.4,14.6,13.9,7-19-2017,9.7,9.5,0.07984031936,UMN,82,0.443728070175439,0.440789473684211,0.446666666666667
YC16:1491,Pa762,SP14:10885,100,12.1,7-11-2017,A,4,3:09,03:32:00,7-12-2017,8:45,11.86,B,11.3,11.3,11.3,15.1,16.3,15.3,16.5,7-14-2017,14.3,14.2,13.4,7-19-2017,10,10.2,0.08,UMN,83,0.4144916244643555,0.417218543046358,0.411764705882353
YC16:2268,N211,SP14:10801,100.2,13.4,7-12-2017,A,3,3:35,03:58:00,7-13-2017,8:40,11.86,A,11.2,11.4,11.5,15,16.3,15.1,16.4,7-18-2017,13.4,16.2,13.3,7-20-2017,10.1,10.2,0.0878243513,UMN,86,0.4119646799116995,0.413333333333333,0.410596026490066
YC16:1080,LH295,SP14:11308,100.1,12.4,7-12-2017,A,4,3:35,03:58:00,7-13-2017,8:40,11.84,A,11.6,11.7,12.1,15,16.3,15.1,16.5,7-18-2017,14.4,15.8,13.5,7-20-2017,9.6,9.8,0.08291708292,UMN,87,0.445187637969095,0.446666666666667,0.443708609271523
YC16:1469,NKS8326,SP14:10834,100,12.9,7-13-2017,A,2,3:04,03:30:00,7-14-2017,8:32,11.6,B,12,12.3,12.5,15.2,16.4,15.2,16.4,7-19-2017,11.2,14.7,14.6,7-20-2017,10,9.9,0.037,UMN,89,0.4243421052631575,0.421052631578947,0.427631578947368
YC16:2237,DKPB80,SP14:10840,100.2,12.5,7-13-2017,A,3,3:04,03:30:00,7-14-2017,8:32,11.7,B,11.5,12.5,11.8,15.2,16.3,15.3,16.4,7-19-2017,14.7,16.1,13.6,7-20-2017,9.8,9.8,0.08582834331,UMN,90,0.429502063983488,0.427631578947368,0.431372549019608
YC16:1061,N192,SP14:10741,100.1,10.4,7-13-2017,A,4,3:04,03:30:00,7-14-2017,8:32,11.75,B,12.2,12.4,11.9,15.1,16.3,15.1,16.2,7-19-2017,13.8,16.9,13.7,7-20-2017,9.6,9.7,0.07892107892,UMN,91,0.43708609271523147,0.443708609271523,0.43046357615894
YC16:2202,PHG71,SP14:10800,99.9,11.6,7-17-2017,A,1,3:49,04:13:00,7-18-2017,9:01,11.67,A,11.5,11.1,12,15,16.4,15,16.3,7-20-2017,13.8,13.8,16.7,7-25-2017,10,10,0.0970970971,UMN,92,0.4233333333333335,0.426666666666667,0.42
